ticker,total_v20_matches,completed_round_trips,still_holding_count,never_reentered_count,avg_days_to_sell_zone,min_days_to_sell_zone,max_days_to_sell_zone
VLO,1,0,0,1,,,
UNH,1,1,0,0,29.0,29.0,29.0
URI,1,0,0,1,,,
UPS,1,0,1,0,,,
ULTA,1,1,0,0,87.0,87.0,87.0
TRV,1,0,0,1,,,
TYL,1,1,0,0,73.0,73.0,73.0
TT,1,0,0,1,,,
UHS,1,0,0,1,,,
GWW,1,0,0,1,,,
VRTX,1,0,0,1,,,
VTR,1,0,0,1,,,
VTRS,1,0,0,1,,,
VZ,1,0,0,1,,,
XYL,1,0,0,1,,,
